Entity,Code,Day,Total confirmed cases of COVID-19,Total confirmed cases of COVID-19 (WHO),Total confirmed cases of COVID-19,738545-annotations
South Korea,KOR,2020-02-16,29,29,29,
South Korea,KOR,2020-02-17,30,30,30,
South Korea,KOR,2020-02-18,31,31,31,
South Korea,KOR,2020-02-19,31,51,46,
South Korea,KOR,2020-02-20,104,104,80,
South Korea,KOR,2020-02-21,204,204,155,
South Korea,KOR,2020-02-22,433,346,345,
South Korea,KOR,2020-02-23,602,602,601,
South Korea,KOR,2020-02-24,833,763,762,
South Korea,KOR,2020-02-25,977,977,892,
South Korea,KOR,2020-02-26,1261,1261,1146,
South Korea,KOR,2020-02-27,1766,1766,1595,
South Korea,KOR,2020-02-28,2337,2337,2022,
South Korea,KOR,2020-02-29,3150,3150,2931,
South Korea,KOR,2020-03-01,3736,3736,3526,
South Korea,KOR,2020-03-02,4335,4212,4212,
South Korea,KOR,2020-03-03,5186,4812,4812,
South Korea,KOR,2020-03-04,5621,5328,5328,
South Korea,KOR,2020-03-05,6088,5766,5766,
South Korea,KOR,2020-03-06,6593,6284,6284,
South Korea,KOR,2020-03-07,7041,6767,6767,
South Korea,KOR,2020-03-08,7314,7134,7134,
South Korea,KOR,2020-03-09,7478,7382,7382,
South Korea,KOR,2020-03-10,7513,7513,7513,
South Korea,KOR,2020-03-11,7755,7755,7755,
South Korea,KOR,2020-03-12,7869,7869,7869,
South Korea,KOR,2020-03-13,7979,7979,7979,
South Korea,KOR,2020-03-14,8086,8086,8086,
South Korea,KOR,2020-03-15,8162,8162,8162,
South Korea,KOR,2020-03-16,8236,8236,8236,
South Korea,KOR,2020-03-17,8320,8320,8320,
Spain,ESP,2020-02-01,1,1,1,
Spain,ESP,2020-02-02,1,1,1,
Spain,ESP,2020-02-03,1,1,1,
Spain,ESP,2020-02-04,1,1,1,
Spain,ESP,2020-02-05,1,1,1,
Spain,ESP,2020-02-06,1,1,1,
Spain,ESP,2020-02-07,1,1,1,
Spain,ESP,2020-02-08,1,1,1,
Spain,ESP,2020-02-09,2,1,1,
Spain,ESP,2020-02-10,2,2,2,
Spain,ESP,2020-02-11,2,2,2,
Spain,ESP,2020-02-12,2,2,2,
Spain,ESP,2020-02-13,2,2,2,
Spain,ESP,2020-02-14,2,2,2,
Spain,ESP,2020-02-15,2,2,2,
Spain,ESP,2020-02-16,2,2,2,
Spain,ESP,2020-02-17,2,2,2,
Spain,ESP,2020-02-18,2,2,2,
Spain,ESP,2020-02-19,2,2,2,
Spain,ESP,2020-02-20,2,2,2,
Spain,ESP,2020-02-21,2,2,2,
Spain,ESP,2020-02-22,2,2,2,
Spain,ESP,2020-02-23,2,2,2,
Spain,ESP,2020-02-24,2,2,2,
Spain,ESP,2020-02-25,6,2,3,
Spain,ESP,2020-02-26,13,2,9,
Spain,ESP,2020-02-27,15,12,17,
Spain,ESP,2020-02-28,32,25,35,
Spain,ESP,2020-02-29,45,32,54,
Spain,ESP,2020-03-01,84,45,82,
Spain,ESP,2020-03-02,120,45,136,
Spain,ESP,2020-03-03,165,114,192,
Spain,ESP,2020-03-04,222,151,267,
Spain,ESP,2020-03-05,259,198,348,
Spain,ESP,2020-03-06,400,257,531,
Spain,ESP,2020-03-07,500,374,764,
Spain,ESP,2020-03-08,673,430,1094,
Spain,ESP,2020-03-09,1073,589,1527,
Spain,ESP,2020-03-10,1695,1024,2299,
Spain,ESP,2020-03-11,2277,1639,3274,
Spain,ESP,2020-03-12,2277,2140,4427,
Spain,ESP,2020-03-13,5232,2965,5958,
Spain,ESP,2020-03-14,6391,4231,7641,
Spain,ESP,2020-03-15,7798,5753,9785,
Spain,ESP,2020-03-16,9942,7753,11491,
Spain,ESP,2020-03-17,11748,9191,13994,
Sri Lanka,LKA,2020-01-27,1,,,
Sri Lanka,LKA,2020-01-28,1,1,1,
Sri Lanka,LKA,2020-01-29,1,1,1,
Sri Lanka,LKA,2020-01-30,1,1,1,
Sri Lanka,LKA,2020-01-31,1,1,1,
Sri Lanka,LKA,2020-02-01,1,1,1,
Sri Lanka,LKA,2020-02-02,1,1,1,
Sri Lanka,LKA,2020-02-03,1,1,1,
Sri Lanka,LKA,2020-02-04,1,1,1,
Sri Lanka,LKA,2020-02-05,1,1,1,
Sri Lanka,LKA,2020-02-06,1,1,1,
Sri Lanka,LKA,2020-02-07,1,1,1,
Sri Lanka,LKA,2020-02-08,1,1,1,
Sri Lanka,LKA,2020-02-09,1,1,1,
Sri Lanka,LKA,2020-02-10,1,1,1,
Sri Lanka,LKA,2020-02-11,1,1,1,
Sri Lanka,LKA,2020-02-12,1,1,1,
Sri Lanka,LKA,2020-02-13,1,1,1,
Sri Lanka,LKA,2020-02-14,1,1,1,
Sri Lanka,LKA,2020-02-15,1,1,1,
Sri Lanka,LKA,2020-02-16,1,1,1,
Sri Lanka,LKA,2020-02-17,1,1,1,
Sri Lanka,LKA,2020-02-18,1,1,1,
Sri Lanka,LKA,2020-02-19,1,1,1,
Sri Lanka,LKA,2020-02-20,1,1,1,
Sri Lanka,LKA,2020-02-21,1,1,1,
Sri Lanka,LKA,2020-02-22,1,1,1,
Sri Lanka,LKA,2020-02-23,1,1,1,
Sri Lanka,LKA,2020-02-24,1,1,1,
Sri Lanka,LKA,2020-02-25,1,1,1,
Sri Lanka,LKA,2020-02-26,1,1,1,
Sri Lanka,LKA,2020-02-27,1,1,1,
Sri Lanka,LKA,2020-02-28,1,1,1,
Sri Lanka,LKA,2020-02-29,1,1,1,
Sri Lanka,LKA,2020-03-01,1,1,1,
Sri Lanka,LKA,2020-03-02,1,1,1,
Sri Lanka,LKA,2020-03-03,1,1,,
Sri Lanka,LKA,2020-03-04,1,1,,
Sri Lanka,LKA,2020-03-05,1,1,,
Sri Lanka,LKA,2020-03-06,1,1,,
Sri Lanka,LKA,2020-03-07,1,1,,
Sri Lanka,LKA,2020-03-08,1,1,,
Sri Lanka,LKA,2020-03-09,1,1,,
Sri Lanka,LKA,2020-03-10,1,1,,
Sri Lanka,LKA,2020-03-11,2,1,,
Sri Lanka,LKA,2020-03-12,2,2,2,
Sri Lanka,LKA,2020-03-13,6,3,3,
Sri Lanka,LKA,2020-03-14,10,6,6,
Sri Lanka,LKA,2020-03-15,18,11,11,
Sri Lanka,LKA,2020-03-16,28,19,19,
Sri Lanka,LKA,2020-03-17,44,29,29,
Sudan,SDN,2020-03-14,1,1,1,
Sudan,SDN,2020-03-15,1,1,1,
Sudan,SDN,2020-03-16,1,1,1,
Sudan,SDN,2020-03-17,1,2,1,
Suriname,SUR,2020-03-14,1,,,
Suriname,SUR,2020-03-15,1,,1,
Suriname,SUR,2020-03-16,1,1,,
Suriname,SUR,2020-03-17,1,1,,
Swaziland,,2020-03-15,,,1,
Swaziland,,2020-03-16,,,1,
Swaziland,,2020-03-17,,,1,
Sweden,SWE,2020-02-01,1,1,,
Sweden,SWE,2020-02-02,1,1,,
Sweden,SWE,2020-02-03,1,1,,
Sweden,SWE,2020-02-04,1,1,,
Sweden,SWE,2020-02-05,1,1,1,
Sweden,SWE,2020-02-06,1,1,1,
Sweden,SWE,2020-02-07,1,1,1,
Sweden,SWE,2020-02-08,1,1,1,
Sweden,SWE,2020-02-09,1,1,1,
Sweden,SWE,2020-02-10,1,1,1,
Sweden,SWE,2020-02-11,1,1,1,
Sweden,SWE,2020-02-12,1,1,1,
Sweden,SWE,2020-02-13,1,1,1,
Sweden,SWE,2020-02-14,1,1,1,
Sweden,SWE,2020-02-15,1,1,1,
Sweden,SWE,2020-02-16,1,1,1,
Sweden,SWE,2020-02-17,1,1,1,
Sweden,SWE,2020-02-18,1,1,1,
Sweden,SWE,2020-02-19,1,1,1,
Sweden,SWE,2020-02-20,1,1,1,
Sweden,SWE,2020-02-21,1,1,1,
Sweden,SWE,2020-02-22,1,1,1,
Sweden,SWE,2020-02-23,1,1,1,
Sweden,SWE,2020-02-24,1,1,1,
Sweden,SWE,2020-02-25,1,1,1,
Sweden,SWE,2020-02-26,2,1,1,
Sweden,SWE,2020-02-27,3,2,2,
Sweden,SWE,2020-02-28,11,7,3,
Sweden,SWE,2020-02-29,14,12,11,
Sweden,SWE,2020-03-01,14,13,14,
Sweden,SWE,2020-03-02,19,14,14,
Sweden,SWE,2020-03-03,32,15,19,
Sweden,SWE,2020-03-04,62,24,32,
Sweden,SWE,2020-03-05,87,35,62,
Sweden,SWE,2020-03-06,146,61,87,
Sweden,SWE,2020-03-07,179,137,146,
Sweden,SWE,2020-03-08,225,161,179,
Sweden,SWE,2020-03-09,326,203,225,
Sweden,SWE,2020-03-10,424,248,326,
Sweden,SWE,2020-03-11,620,326,424,
Sweden,SWE,2020-03-12,771,461,620,
Sweden,SWE,2020-03-13,923,620,771,
Sweden,SWE,2020-03-14,994,775,923,
Sweden,SWE,2020-03-15,1063,924,994,
Sweden,SWE,2020-03-16,1146,992,1063,
Sweden,SWE,2020-03-17,1265,1059,1146,
Switzerland,CHE,2020-02-25,1,,,
Switzerland,CHE,2020-02-26,1,1,1,
Switzerland,CHE,2020-02-27,8,1,1,
Switzerland,CHE,2020-02-28,8,6,8,
Switzerland,CHE,2020-02-29,18,10,12,
Switzerland,CHE,2020-03-01,27,18,18,
Switzerland,CHE,2020-03-02,42,24,24,
Switzerland,CHE,2020-03-03,56,30,30,
Switzerland,CHE,2020-03-04,90,37,37,
Switzerland,CHE,2020-03-05,114,56,57,
Switzerland,CHE,2020-03-06,214,86,87,
Switzerland,CHE,2020-03-07,268,209,209,
Switzerland,CHE,2020-03-08,337,264,264,
Switzerland,CHE,2020-03-09,374,332,332,
Switzerland,CHE,2020-03-10,491,332,374,
Switzerland,CHE,2020-03-11,652,491,490,
Switzerland,CHE,2020-03-12,652,645,642,
Switzerland,CHE,2020-03-13,1139,858,854,
Switzerland,CHE,2020-03-14,1359,1125,1121,
Switzerland,CHE,2020-03-15,2200,1359,1359,
Switzerland,CHE,2020-03-16,2200,2200,2200,
Switzerland,CHE,2020-03-17,2700,2200,2200,
Taiwan,TWN,2020-01-22,1,,1,
Taiwan,TWN,2020-01-23,1,,1,
Taiwan,TWN,2020-01-24,3,,1,
Taiwan,TWN,2020-01-25,3,,3,
Taiwan,TWN,2020-01-26,4,,3,
Taiwan,TWN,2020-01-27,5,,5,
Taiwan,TWN,2020-01-28,8,,7,
Taiwan,TWN,2020-01-29,8,,8,
Taiwan,TWN,2020-01-30,9,,8,
Taiwan,TWN,2020-01-31,10,,9,
Taiwan,TWN,2020-02-01,10,,10,
Taiwan,TWN,2020-02-02,10,,10,
Taiwan,TWN,2020-02-03,10,,10,
Taiwan,TWN,2020-02-04,11,,10,
Taiwan,TWN,2020-02-05,11,,11,
Taiwan,TWN,2020-02-06,16,,11,
Taiwan,TWN,2020-02-07,16,,16,
Taiwan,TWN,2020-02-08,17,,17,
Taiwan,TWN,2020-02-09,18,,18,
Taiwan,TWN,2020-02-10,18,,18,
Taiwan,TWN,2020-02-11,18,,18,
Taiwan,TWN,2020-02-12,18,,18,
Taiwan,TWN,2020-02-13,18,,18,
Taiwan,TWN,2020-02-14,18,,18,
Taiwan,TWN,2020-02-15,18,,18,
Taiwan,TWN,2020-02-16,20,,18,
Taiwan,TWN,2020-02-17,22,,20,
Taiwan,TWN,2020-02-18,22,,22,
Taiwan,TWN,2020-02-19,23,,22,
Taiwan,TWN,2020-02-20,24,,24,
Taiwan,TWN,2020-02-21,26,,24,
Taiwan,TWN,2020-02-22,26,,26,
Taiwan,TWN,2020-02-23,28,,26,
Taiwan,TWN,2020-02-24,30,,28,
Taiwan,TWN,2020-02-25,31,,30,
Taiwan,TWN,2020-02-26,32,,31,
Taiwan,TWN,2020-02-27,32,,32,
Taiwan,TWN,2020-02-28,34,,34,
Taiwan,TWN,2020-02-29,39,,39,
Taiwan,TWN,2020-03-01,40,,40,
Taiwan,TWN,2020-03-02,41,,40,
Taiwan,TWN,2020-03-03,42,,41,
Taiwan,TWN,2020-03-04,42,,42,
Taiwan,TWN,2020-03-05,44,,42,
Taiwan,TWN,2020-03-06,45,,44,
Taiwan,TWN,2020-03-07,45,,45,
Taiwan,TWN,2020-03-08,45,,45,
Taiwan,TWN,2020-03-09,45,,45,
Taiwan,TWN,2020-03-10,47,,45,
Taiwan,TWN,2020-03-11,48,,48,
Taiwan,TWN,2020-03-12,49,,48,
Taiwan,TWN,2020-03-13,50,,49,
Taiwan,TWN,2020-03-14,53,,53,
Taiwan,TWN,2020-03-15,59,,59,
Taiwan,TWN,2020-03-16,67,,59,
Taiwan,TWN,2020-03-17,77,,67,
Tanzania,TZA,2020-03-16,1,,,
Tanzania,TZA,2020-03-17,1,1,1,
Thailand,THA,2020-01-22,4,2,4,
Thailand,THA,2020-01-23,4,4,4,
Thailand,THA,2020-01-24,5,4,4,
Thailand,THA,2020-01-25,6,4,5,
Thailand,THA,2020-01-26,8,5,5,
Thailand,THA,2020-01-27,8,5,8,
Thailand,THA,2020-01-28,14,14,14,
Thailand,THA,2020-01-29,14,14,14,
Thailand,THA,2020-01-30,14,14,14,
Thailand,THA,2020-01-31,19,14,14,
Thailand,THA,2020-02-01,19,19,19,
Thailand,THA,2020-02-02,19,19,19,
Thailand,THA,2020-02-03,19,19,19,
Thailand,THA,2020-02-04,25,19,19,
Thailand,THA,2020-02-05,25,25,25,
Thailand,THA,2020-02-06,25,25,25,
Thailand,THA,2020-02-07,25,25,25,
Thailand,THA,2020-02-08,32,32,32,
Thailand,THA,2020-02-09,32,32,32,
Thailand,THA,2020-02-10,32,32,32,
Thailand,THA,2020-02-11,33,33,32,
Thailand,THA,2020-02-12,33,33,33,
Thailand,THA,2020-02-13,33,33,33,
Thailand,THA,2020-02-14,33,33,33,
Thailand,THA,2020-02-15,34,34,34,
Thailand,THA,2020-02-16,34,34,34,
Thailand,THA,2020-02-17,35,35,34,
Thailand,THA,2020-02-18,35,35,35,
Thailand,THA,2020-02-19,35,35,35,
Thailand,THA,2020-02-20,35,35,35,
Thailand,THA,2020-02-21,35,35,35,
Thailand,THA,2020-02-22,35,35,35,
Thailand,THA,2020-02-23,35,35,35,
Thailand,THA,2020-02-24,35,35,35,
Thailand,THA,2020-02-25,37,37,37,
Thailand,THA,2020-02-26,40,40,40,
Thailand,THA,2020-02-27,40,40,40,
Thailand,THA,2020-02-28,41,40,40,
Thailand,THA,2020-02-29,42,42,42,
Thailand,THA,2020-03-01,42,42,42,
Thailand,THA,2020-03-02,43,42,43,
Thailand,THA,2020-03-03,43,43,,
Thailand,THA,2020-03-04,43,43,,
Thailand,THA,2020-03-05,47,47,47,
Thailand,THA,2020-03-06,48,47,,
Thailand,THA,2020-03-07,50,48,50,
Thailand,THA,2020-03-08,50,50,,
Thailand,THA,2020-03-09,50,50,,
Thailand,THA,2020-03-10,53,53,,
Thailand,THA,2020-03-11,59,59,59,
Thailand,THA,2020-03-12,72,70,70,
Thailand,THA,2020-03-13,75,75,,
Thailand,THA,2020-03-14,82,75,82,
Thailand,THA,2020-03-15,114,75,82,
Thailand,THA,2020-03-16,147,114,114,
Thailand,THA,2020-03-17,177,147,177,
Togo,TGO,2020-03-06,1,,,
Togo,TGO,2020-03-07,1,1,1,
Togo,TGO,2020-03-08,1,1,,
Togo,TGO,2020-03-09,1,1,,
Togo,TGO,2020-03-10,1,1,,
Togo,TGO,2020-03-11,1,1,,
Togo,TGO,2020-03-12,1,1,,
Togo,TGO,2020-03-13,1,1,,
Togo,TGO,2020-03-14,1,1,,
Togo,TGO,2020-03-15,1,1,1,
Togo,TGO,2020-03-16,1,1,1,
Togo,TGO,2020-03-17,1,1,1,
Trinidad and Tobago,TTO,2020-03-13,,,1,
Trinidad and Tobago,TTO,2020-03-14,2,1,2,
Trinidad and Tobago,TTO,2020-03-15,2,1,2,
Trinidad and Tobago,TTO,2020-03-16,4,2,4,
Trinidad and Tobago,TTO,2020-03-17,5,5,5,
Tunisia,TUN,2020-03-03,,1,1,
Tunisia,TUN,2020-03-04,1,1,,
Tunisia,TUN,2020-03-05,1,1,,
Tunisia,TUN,2020-03-06,1,1,,
Tunisia,TUN,2020-03-07,1,1,,
Tunisia,TUN,2020-03-08,2,1,,
Tunisia,TUN,2020-03-09,2,2,,
Tunisia,TUN,2020-03-10,5,2,2,
Tunisia,TUN,2020-03-11,7,6,5,
Tunisia,TUN,2020-03-12,7,6,7,
Tunisia,TUN,2020-03-13,16,7,13,
Tunisia,TUN,2020-03-14,18,16,16,
Tunisia,TUN,2020-03-15,18,16,16,
Tunisia,TUN,2020-03-16,20,18,18,
Tunisia,TUN,2020-03-17,24,20,20,
Turkey,TUR,2020-03-11,1,,,
Turkey,TUR,2020-03-12,1,1,1,
Turkey,TUR,2020-03-13,5,1,2,
Turkey,TUR,2020-03-14,5,5,,
Turkey,TUR,2020-03-15,6,5,,
Turkey,TUR,2020-03-16,18,5,18,
Turkey,TUR,2020-03-17,47,47,47,
Ukraine,UKR,2020-03-03,1,,,
Ukraine,UKR,2020-03-04,1,1,1,
Ukraine,UKR,2020-03-05,1,1,,
Ukraine,UKR,2020-03-06,1,1,,
Ukraine,UKR,2020-03-07,1,1,,
Ukraine,UKR,2020-03-08,1,1,,
Ukraine,UKR,2020-03-09,1,1,,
Ukraine,UKR,2020-03-10,1,1,,
Ukraine,UKR,2020-03-11,1,1,,
Ukraine,UKR,2020-03-12,1,1,,
Ukraine,UKR,2020-03-13,3,3,3,
Ukraine,UKR,2020-03-14,3,3,,
Ukraine,UKR,2020-03-15,3,3,,
Ukraine,UKR,2020-03-16,7,3,3,
Ukraine,UKR,2020-03-17,14,7,5,
United Arab Emirates,ARE,2020-01-27,,,1,
United Arab Emirates,ARE,2020-01-28,,,1,
United Arab Emirates,ARE,2020-01-29,4,4,1,
United Arab Emirates,ARE,2020-01-30,4,4,4,
United Arab Emirates,ARE,2020-01-31,4,4,4,
United Arab Emirates,ARE,2020-02-01,4,4,4,
United Arab Emirates,ARE,2020-02-02,5,5,5,
United Arab Emirates,ARE,2020-02-03,5,5,5,
United Arab Emirates,ARE,2020-02-04,5,5,5,
United Arab Emirates,ARE,2020-02-05,5,5,5,
United Arab Emirates,ARE,2020-02-06,5,5,5,
United Arab Emirates,ARE,2020-02-07,5,5,5,
United Arab Emirates,ARE,2020-02-08,7,7,7,
United Arab Emirates,ARE,2020-02-09,7,7,7,
United Arab Emirates,ARE,2020-02-10,8,7,7,
United Arab Emirates,ARE,2020-02-11,8,8,8,
United Arab Emirates,ARE,2020-02-12,8,8,8,
United Arab Emirates,ARE,2020-02-13,8,8,8,
United Arab Emirates,ARE,2020-02-14,8,8,8,
United Arab Emirates,ARE,2020-02-15,8,8,8,
United Arab Emirates,ARE,2020-02-16,9,8,8,
United Arab Emirates,ARE,2020-02-17,9,9,9,
United Arab Emirates,ARE,2020-02-18,9,9,9,
United Arab Emirates,ARE,2020-02-19,9,9,9,
United Arab Emirates,ARE,2020-02-20,9,9,9,
United Arab Emirates,ARE,2020-02-21,9,9,9,
United Arab Emirates,ARE,2020-02-22,13,11,11,
United Arab Emirates,ARE,2020-02-23,13,13,13,
United Arab Emirates,ARE,2020-02-24,13,13,13,
United Arab Emirates,ARE,2020-02-25,13,13,13,
United Arab Emirates,ARE,2020-02-26,13,13,13,
United Arab Emirates,ARE,2020-02-27,13,13,13,
United Arab Emirates,ARE,2020-02-28,19,19,19,
United Arab Emirates,ARE,2020-02-29,21,19,21,
United Arab Emirates,ARE,2020-03-01,21,19,21,
United Arab Emirates,ARE,2020-03-02,21,21,21,
United Arab Emirates,ARE,2020-03-03,27,21,,
United Arab Emirates,ARE,2020-03-04,27,27,27,
United Arab Emirates,ARE,2020-03-05,29,27,,
United Arab Emirates,ARE,2020-03-06,29,27,29,
United Arab Emirates,ARE,2020-03-07,45,45,,
United Arab Emirates,ARE,2020-03-08,45,45,45,
United Arab Emirates,ARE,2020-03-09,45,45,,
United Arab Emirates,ARE,2020-03-10,74,59,59,
United Arab Emirates,ARE,2020-03-11,74,74,74,
United Arab Emirates,ARE,2020-03-12,85,74,,
United Arab Emirates,ARE,2020-03-13,85,85,85,
United Arab Emirates,ARE,2020-03-14,85,85,,
United Arab Emirates,ARE,2020-03-15,98,85,86,
United Arab Emirates,ARE,2020-03-16,98,98,98,
United Arab Emirates,ARE,2020-03-17,98,98,98,
United Kingdom,GBR,2020-01-31,2,,,
United Kingdom,GBR,2020-02-01,2,2,2,
United Kingdom,GBR,2020-02-02,2,2,2,
United Kingdom,GBR,2020-02-03,8,2,2,
United Kingdom,GBR,2020-02-04,8,2,2,
United Kingdom,GBR,2020-02-05,9,2,3,
United Kingdom,GBR,2020-02-06,9,2,3,
United Kingdom,GBR,2020-02-07,9,3,4,
United Kingdom,GBR,2020-02-08,13,3,4,
United Kingdom,GBR,2020-02-09,14,3,4,
United Kingdom,GBR,2020-02-10,14,4,8,
United Kingdom,GBR,2020-02-11,15,8,9,
United Kingdom,GBR,2020-02-12,16,8,9,
United Kingdom,GBR,2020-02-13,17,9,10,
United Kingdom,GBR,2020-02-14,18,9,10,
United Kingdom,GBR,2020-02-15,18,9,10,
United Kingdom,GBR,2020-02-16,18,9,10,
United Kingdom,GBR,2020-02-17,19,9,10,
United Kingdom,GBR,2020-02-18,19,9,10,
United Kingdom,GBR,2020-02-19,20,9,10,
United Kingdom,GBR,2020-02-20,22,9,10,
United Kingdom,GBR,2020-02-21,23,9,10,
United Kingdom,GBR,2020-02-22,23,9,10,
United Kingdom,GBR,2020-02-23,28,9,11,
United Kingdom,GBR,2020-02-24,30,9,11,
United Kingdom,GBR,2020-02-25,34,13,11,
United Kingdom,GBR,2020-02-26,37,13,13,
United Kingdom,GBR,2020-02-27,44,13,18,
United Kingdom,GBR,2020-02-28,56,16,22,
United Kingdom,GBR,2020-02-29,61,20,30,
United Kingdom,GBR,2020-03-01,94,23,42,
United Kingdom,GBR,2020-03-02,134,36,47,
United Kingdom,GBR,2020-03-03,189,39,69,
United Kingdom,GBR,2020-03-04,245,51,109,
United Kingdom,GBR,2020-03-05,294,89,164,
United Kingdom,GBR,2020-03-06,373,118,220,
United Kingdom,GBR,2020-03-07,428,167,271,
United Kingdom,GBR,2020-03-08,482,210,352,
United Kingdom,GBR,2020-03-09,629,277,412,
United Kingdom,GBR,2020-03-10,887,323,469,
United Kingdom,GBR,2020-03-11,1298,373,617,
United Kingdom,GBR,2020-03-12,1787,460,876,
United Kingdom,GBR,2020-03-13,2266,594,1282,
United Kingdom,GBR,2020-03-14,2630,802,1766,
United Kingdom,GBR,2020-03-15,3072,1144,2244,
United Kingdom,GBR,2020-03-16,3684,1395,2605,
United Kingdom,GBR,2020-03-17,4452,1547,3047,
United States,USA,2020-01-22,1,,1,
United States,USA,2020-01-23,1,1,1,
United States,USA,2020-01-24,2,1,1,
United States,USA,2020-01-25,2,2,2,
United States,USA,2020-01-26,5,2,2,
United States,USA,2020-01-27,5,5,5,
United States,USA,2020-01-28,5,5,5,
United States,USA,2020-01-29,6,5,5,
United States,USA,2020-01-30,6,5,5,
United States,USA,2020-01-31,8,6,6,
United States,USA,2020-02-01,8,7,7,
United States,USA,2020-02-02,8,8,8,
United States,USA,2020-02-03,11,11,11,
United States,USA,2020-02-04,11,11,11,
United States,USA,2020-02-05,11,11,11,
United States,USA,2020-02-06,12,12,12,
United States,USA,2020-02-07,12,12,12,
United States,USA,2020-02-08,12,12,12,
United States,USA,2020-02-09,12,12,12,
United States,USA,2020-02-10,12,12,12,
United States,USA,2020-02-11,13,13,13,
United States,USA,2020-02-12,13,13,13,
United States,USA,2020-02-13,14,14,14,
United States,USA,2020-02-14,14,15,15,
United States,USA,2020-02-15,14,15,15,
United States,USA,2020-02-16,14,15,15,
United States,USA,2020-02-17,14,15,15,
United States,USA,2020-02-18,14,15,15,
United States,USA,2020-02-19,14,15,15,
United States,USA,2020-02-20,14,15,15,
United States,USA,2020-02-21,16,15,16,
United States,USA,2020-02-22,16,35,35,
United States,USA,2020-02-23,16,35,35,
United States,USA,2020-02-24,16,35,35,
United States,USA,2020-02-25,16,53,53,
United States,USA,2020-02-26,16,53,53,
United States,USA,2020-02-27,17,59,59,
United States,USA,2020-02-28,17,59,60,
United States,USA,2020-02-29,25,62,66,
United States,USA,2020-03-01,32,62,69,
United States,USA,2020-03-02,55,62,89,
United States,USA,2020-03-03,74,64,103,
United States,USA,2020-03-04,107,108,125,
United States,USA,2020-03-05,184,129,159,
United States,USA,2020-03-06,237,148,233,
United States,USA,2020-03-07,403,213,338,
United States,USA,2020-03-08,519,213,433,
United States,USA,2020-03-09,594,213,554,
United States,USA,2020-03-10,782,472,754,
United States,USA,2020-03-11,1147,696,1025,
United States,USA,2020-03-12,1586,987,1312,
United States,USA,2020-03-13,2219,1264,1663,
United States,USA,2020-03-14,2978,1678,2174,
United States,USA,2020-03-15,3212,1678,2951,
United States,USA,2020-03-16,4679,1678,3774,
United States,USA,2020-03-17,6512,3503,4661,
United States Virgin Islands,VIR,2020-03-17,,2,,
Upper middle income,,2020-01-22,551,,531,
Upper middle income,,2020-01-23,643,,628,
Upper middle income,,2020-01-24,921,,887,
Upper middle income,,2020-01-25,1409,,1332,
Upper middle income,,2020-01-26,2074,,1998,
Upper middle income,,2020-01-27,2875,,2788,
Upper middle income,,2020-01-28,5512,,4548,
Upper middle income,,2020-01-29,6091,,6017,
Upper middle income,,2020-01-30,8146,,7758,
Upper middle income,,2020-01-31,9812,,9739,
Upper middle income,,2020-02-01,11900,,11841,
Upper middle income,,2020-02-02,16636,,14431,
Upper middle income,,2020-02-03,19722,,17243,
Upper middle income,,2020-02-04,23717,,20480,
Upper middle income,,2020-02-05,27448,,24360,
Upper middle income,,2020-02-06,30594,,28089,
Upper middle income,,2020-02-07,34117,,31251,
Upper middle income,,2020-02-08,36828,,34677,
Upper middle income,,2020-02-09,39841,,37285,
Upper middle income,,2020-02-10,42358,,40261,
Upper middle income,,2020-02-11,44380,,42752,
Upper middle income,,2020-02-12,44752,,44781,
Upper middle income,,2020-02-13,59885,,59922,
Upper middle income,,2020-02-14,66346,,64079,
Upper middle income,,2020-02-15,68405,,66620,
Upper middle income,,2020-02-16,70504,,68628,
Upper middle income,,2020-02-17,72423,,70680,
Upper middle income,,2020-02-18,74198,,72571,
Upper middle income,,2020-02-19,74605,,74321,
Upper middle income,,2020-02-20,75058,,74717,
Upper middle income,,2020-02-21,75531,,75611,
Upper middle income,,2020-02-22,76981,,76451,
Upper middle income,,2020-02-23,76997,,77109,
Upper middle income,,2020-02-24,77212,,77342,
Upper middle income,,2020-02-25,77722,,77880,
Upper middle income,,2020-02-26,78137,,78333,
Upper middle income,,2020-02-27,78573,,78819,
Upper middle income,,2020-02-28,78904,,79263,
Upper middle income,,2020-02-29,79346,,79846,
Upper middle income,,2020-03-01,79941,,80639,
Upper middle income,,2020-03-02,80150,,81254,
Upper middle income,,2020-03-03,80291,,81913,
Upper middle income,,2020-03-04,80438,,82890,
Upper middle income,,2020-03-05,80609,,83632,
Upper middle income,,2020-03-06,80821,,84433,
Upper middle income,,2020-03-07,80936,,85836,
Upper middle income,,2020-03-08,81045,,87001,
Upper middle income,,2020-03-09,81114,,87855,
Upper middle income,,2020-03-10,81217,,88523,
Upper middle income,,2020-03-11,81326,,89524,
Upper middle income,,2020-03-12,81433,,90710,
Upper middle income,,2020-03-13,81775,,91985,
Upper middle income,,2020-03-14,82017,,93583,
Upper middle income,,2020-03-15,82420,,95264,
Upper middle income,,2020-03-16,82905,,97131,
Upper middle income,,2020-03-17,83530,,98821,
Uruguay,URY,2020-03-13,4,,,
Uruguay,URY,2020-03-14,6,,,
Uruguay,URY,2020-03-15,8,,6,
Uruguay,URY,2020-03-16,29,4,8,
Uruguay,URY,2020-03-17,50,6,29,
Uzbekistan,UZB,2020-03-15,1,,,
